rung	depth	N	MI	p_value	verdict	note
Germanic en↔de	~1.5ky	700	1.6780	0.0010	검정력✓(floor 명확초과)	확정 얕음
Germanic ang↔goh	~1.5ky	700	1.9231	0.0010	검정력✓(floor 명확초과)	확정 고대자매
IE itc-pro↔gem-pro	~5ky	590	1.2968	0.0010	검정력✓(floor 명확초과)	★확정 깊음(한-일 깊이)
IE iir-pro↔grk-pro	~5.5ky	499	1.2217	0.0010	검정력✓(floor 명확초과)	★확정 깊음(Graeco-Aryan)
IE itc-pro↔iir-pro	~5.5ky	591	1.2958	0.0010	검정력✓(floor 명확초과)	★확정 깊음
PGmc root↔en(영어)	~2ky	700	1.4910	0.0010	검정력✓(floor 명확초과)	★attested↔proto 얕음
PIE root↔la(라틴)	~5.5ky	700	1.0435	0.0010	검정력✓(floor 명확초과)	★attested↔proto 깊음(한-일 매칭)
